Episode Number,PlayTime,Exp Count,Kill
6,226.3322,79,0
7,226.3322,79,0
8,226.3322,79,0
9,226.3322,79,0
10,226.3322,79,0
11,226.3322,79,0
12,226.3322,79,0
13,226.3322,79,0
Episode Number,PlayTime,Exp Count,Kill
1,264.332,78,1264
2,264.332,78,1
3,264.332,78,0
4,264.332,78,0
5,264.332,78,0
6,264.332,78,0
7,264.332,78,0
8,264.332,78,0
9,264.332,78,1
10,264.332,78,0
11,264.332,78,0
12,264.332,78,0
13,264.332,78,0
14,264.332,78,0
Episode Number,PlayTime,Exp Count,Kill
1,254.6651,64,1117
2,254.6651,64,0
3,254.6651,64,0
4,254.6651,64,0
5,254.6651,64,0
6,254.6651,64,0
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,70,1146
2,300.3331,70,0
3,300.3331,70,0
4,300.3331,70,0
5,300.3331,70,0
6,300.3331,70,0
7,300.3331,70,0
8,300.3331,70,0
9,300.3331,70,0
10,300.3331,70,0
11,300.3331,70,0
12,300.3331,70,0
13,300.3331,70,0
14,300.3331,70,0
15,300.3331,70,0
16,300.3331,70,0
17,300.3331,70,0
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,75,1137
2,300.3331,75,0
3,300.3331,75,0
4,300.3331,75,0
5,300.3331,75,0
6,300.3331,75,0
7,300.3331,75,0
8,300.3331,75,0
9,300.3331,75,0
10,300.3331,75,0
11,300.3331,75,0
12,300.3331,75,0
13,300.3331,75,0
14,300.3331,75,0
15,300.3331,75,0
16,300.3331,75,0
Episode Number,PlayTime,Exp Count,Kill
1,282.6659,69,1299
2,282.6659,69,0
3,282.6659,69,0
4,282.6659,69,0
5,282.6659,69,0
6,282.6659,69,0
7,282.6659,69,0
Episode Number,PlayTime,Exp Count,Kill
1,235.3321,79,1175
2,235.3321,80,0
3,235.3321,80,0
4,235.3321,80,0
5,235.3321,80,0
6,235.3321,80,0
7,235.3321,80,0
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,59,1128
2,300.3331,59,0
3,300.3331,59,0
4,300.3331,59,0
5,300.3331,59,0
6,300.3331,59,0
7,300.3331,59,0
8,300.3331,59,0
9,300.3331,59,0
10,300.3331,59,0
11,300.3331,59,0
12,300.3331,59,0
13,300.3331,59,0
14,300.3331,59,0
15,300.3331,59,0
16,300.3331,59,0
17,300.3331,59,0
Episode Number,PlayTime,Exp Count,Kill
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,54,1205
2,300.3331,54,0
3,300.3331,54,0
4,300.3331,54,0
5,300.3331,54,0
6,300.3331,54,0
7,300.3331,54,0
8,300.3331,54,0
9,300.3331,54,0
10,300.3331,54,0
11,300.3331,54,0
12,300.3331,54,0
13,300.3331,54,0
14,300.3331,54,0
15,300.3331,54,0
16,300.3331,54,0
17,300.3331,54,0
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,81,1173
2,300.3331,81,0
3,300.3331,81,0
4,300.3331,81,0
5,300.3331,81,0
6,300.3331,81,0
7,300.3331,81,0
8,300.3331,81,0
9,300.3331,81,0
10,300.3331,81,0
11,300.3331,81,0
12,300.3331,81,0
13,300.3331,81,0
14,300.3331,81,0
15,300.3331,81,0
16,300.3331,81,0
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,72,1157
2,300.3331,72,0
3,300.3331,72,0
4,300.3331,72,0
5,300.3331,72,0
6,300.3331,72,0
7,300.3331,72,0
8,300.3331,72,0
9,300.3331,72,0
10,300.3331,72,0
11,300.3331,72,0
12,300.3331,72,0
13,300.3331,72,0
14,300.3331,72,0
15,300.3331,72,0
16,300.3331,72,0
17,300.3331,72,0
Episode Number,PlayTime,Exp Count,Kill
1,300.3331,65,1221
2,300.3331,65,0
3,300.3331,65,0
4,300.3331,65,0
5,300.3331,65,0
6,300.3331,65,0
7,300.3331,65,0
8,300.3331,65,0
9,300.3331,65,0
10,300.3331,65,0
11,300.3331,65,0
12,300.3331,65,0
13,300.3331,65,0
14,300.3331,65,0
15,300.3331,65,0
16,300.3331,65,0
17,300.3331,65,0
Episode Number,PlayTime,Exp Count,Kill
Episode Number,PlayTime,Exp Count,Kill
1,0,0,0
Episode Number,PlayTime,Exp Count,Kill
Episode Number,PlayTime,Exp Count,Kill
Episode Number,PlayTime,Exp Count,Kill
